player_one,score_player_one,player_two,score_player_two,winner,template,player_one_hero,player_two_hero,bidding_amount,ending_day,created_at,turns_played,player_one_town,player_one_colour,player_two_town,player_two_colour,template_type
miesoarmatniee,0,tuti_fruti23,1,tuti_fruti23,mt_Andromeda,andra,tazar,-800,135,2021-10-11 08:06:30,19.0,fortress,red,fortress,blue,Mirror
Brodazy,1,miesoarmatniee,0,Brodazy,6lm10a/tp,aine,anabel,-700,127,2021-10-11 08:08:48,14.0,tower,red,cove,blue,XL+U
Kadziel,0,Voideck,1,Voideck,6lm10a/tp,calh,luna,3700,126,2021-10-11 08:14:44,13.0,inferno,red,conflux,blue,XL+U
Tsar Konrad,0,Bajer89,1,Bajer89,h3dm1/3,pasis,gelare,-1000,117,2021-10-11 08:16:42,7.0,conflux,red,conflux,blue,Mirror
bartekkita,0,Brodazy,1,Brodazy,mt_Firewalk,dace,malekith,4600,127,2021-10-11 11:49:41,14.0,dungeon,red,dungeon,blue,Mirror
_Punisher_,0,Odelle,1,Odelle,mt_Firewalk,ajit,dace,-6800,126,2021-10-11 19:02:10,13.0,dungeon,red,dungeon,blue,Mirror
Lipathor,0,Ronoroa,1,Ronoroa,Nostalgia/TP,cassiopeia,calh,-500,126,2021-10-12 05:47:28,13.0,cove,red,inferno,blue,XL+U
Toki96,1,Klaudo98,0,Toki96,6lm10a/tp,shakti,thant,2900,136,2021-10-12 07:41:50,20.0,dungeon,red,necropolis,blue,XL+U
KORONIARZ,1,Valerin Bizonov,0,KORONIARZ,6lm10a/tp,ivor,calh,-2300,133,2021-10-12 12:21:48,17.0,rampart,red,inferno,blue,XL+U
jacajackson,1,Abrasus,0,jacajackson,6lm10a/tp,anabel,aine,-4800,126,2021-10-12 12:43:19,13.0,cove,red,tower,blue,XL+U
Chickychicks,1,Tagliafico,0,Chickychicks,Nostalgia/TP,luna,solmyr,-3500,131,2021-10-12 21:26:58,15.0,conflux,red,tower,blue,XL+U
Krzynsztof,1,szhzs,0,Krzynsztof,mt_Firewalk,cuthbert,adelaide,-4800,126,2021-10-12 21:45:11,13.0,castle,red,castle,blue,Mirror
Flisiu,1,Zuro007,0,Flisiu,h3dm1/3,jenova,coronius,900,123,2021-10-12 22:13:25,10.0,rampart,red,rampart,blue,Mirror
Blackyyo,0,chochla,1,chochla,h3dm1/3,alagar,jenova,400,124,2021-10-13 11:36:33,11.0,rampart,red,rampart,blue,Mirror
michail117,0,jacajackson,1,jacajackson,6lm10a/tp,tyraxor,luna,4800,131,2021-10-13 21:06:16,15.0,stronghold,red,conflux,blue,XL+U
Odelle,1,Korczi,0,Odelle,h3dm1/3,jenova,coronius,800,122,2021-10-13 21:08:26,9.0,rampart,red,rampart,blue,Mirror
gee,0,Soczi80,1,Soczi80,6lm10a/tp,shakti,grindan,2800,137,2021-10-14 05:41:07,21.0,dungeon,red,conflux,blue,XL+U
Lanthan,0,Abozykk,1,Abozykk,6lm10a/tp,solmyr,anabel,-1000,116,2021-10-14 05:42:29,6.0,tower,red,cove,blue,XL+U
KniazJarema,1,Banita,0,KniazJarema,h3dm1/3,rissa,daremyth,-800,122,2021-10-14 05:44:07,9.0,tower,red,tower,blue,Mirror
bartekkita,0,heluuuu,1,heluuuu,mt_Andromeda,daremyth,aine,-1000,137,2021-10-14 07:07:31,21.0,tower,red,tower,blue,Mirror
Maralf,1,Nrets,0,Maralf,6lm10a/tp,aine,wystan,-3100,214,2021-10-14 07:10:37,32.0,tower,red,fortress,blue,XL+U
wickedskinner,0,Chickychicks,1,Chickychicks,Nostalgia/TP,thant,anabel,-4000,115,2021-10-14 07:13:28,5.0,necropolis,red,cove,blue,XL+U
Xanimi,1,Dacul CB,0,Xanimi,6lm10a/tp,thant,shakti,-3700,141,2021-10-14 07:15:40,22.0,necropolis,red,dungeon,blue,XL+U
Zuro007,1,SzarikPies,0,Zuro007,6lm10a/tp,ivor,thant,4200,224,2021-10-14 12:01:01,39.0,rampart,red,necropolis,blue,XL+U
Narmalcil,1,Darcade,0,Narmalcil,Nostalgia/TP,calh,aine,4000,131,2021-10-14 13:16:39,15.0,inferno,red,tower,blue,XL+U
Voideck,1,Darcade,0,Voideck,6lm10a/tp,tyraxor,thant,4000,132,2021-10-14 13:17:45,16.0,stronghold,red,necropolis,blue,XL+U
Mrkracy,0,Terror Antiquus,1,Terror Antiquus,6lm10a/tp,anabel,calh,-1000,144,2021-10-15 06:05:07,25.0,cove,red,inferno,blue,XL+U
Burymistrz,0,Bidoneczek,1,Bidoneczek,h3dm1/3,isra,clavius,900,137,2021-10-16 06:47:40,21.0,necropolis,red,necropolis,blue,Mirror
bzzzz,1,Malkiz,0,bzzzz,h3dm1/3,aislinn,charna,2100,142,2021-10-16 06:50:08,23.0,necropolis,red,necropolis,blue,Mirror
bzzzz,0,Burymistrz,1,Burymistrz,6lm10a/tp,jenova,anabel,-2800,114,2021-10-16 06:53:18,4.0,rampart,red,cove,blue,XL+U
bzzzz,1,AksOlek,0,bzzzz,6lm10a/tp,wystan,luna,2900,133,2021-10-16 06:56:34,17.0,fortress,red,conflux,blue,XL+U
jt1911,0,Krwawy_ponurak,1,Krwawy_ponurak,mt_Firewalk,astral,josephine,-4000,126,2021-10-17 15:35:05,13.0,tower,red,tower,blue,Mirror
eurano,0,Tur3k,1,Tur3k,Nostalgia/TP,shakti,anabel,1300,126,2021-10-17 15:36:08,13.0,dungeon,red,cove,blue,XL+U
Zwyrolek,1,KORONIARZ,0,Zwyrolek,mt_Firewalk,mephala,coronius,4500,116,2021-10-17 15:37:23,6.0,rampart,red,rampart,blue,Mirror
Tagliafico,1,Hiszpan,0,Tagliafico,h3dm1/3,nymus,xyron,-1000,212,2021-10-17 17:04:02,30.0,inferno,red,inferno,blue,Mirror
tuti_fruti23,1,MikiWaikiki,0,tuti_fruti23,h3dm1/3,adelaide,adela,-600,121,2021-10-17 17:19:18,8.0,castle,red,castle,blue,Mirror
Bartus,1,Rybas,0,Bartus,mt_MP,coronius,ivor,1400,115,2021-10-17 17:22:14,5.0,rampart,red,rampart,blue,Mirror
Zuk00,0,Tagliafico,1,Tagliafico,h3dm1/3,ajit,damacon,700,132,2021-10-17 19:03:44,16.0,dungeon,red,dungeon,blue,Mirror
Szczypas,1,AnanasowyJoe,0,Szczypas,6lm10a/tp,solmyr,clancy,3600,117,2021-10-17 19:23:54,7.0,tower,red,rampart,blue,XL+U
Aravol,1,Mroq,0,Aravol,6lm10a/tp,tyraxor,calh,2400,124,2021-10-17 19:32:49,11.0,stronghold,red,inferno,blue,XL+U
Klaudo98,1,Yarzapp,0,Klaudo98,mt_Andromeda,mephala,jenova,-800,134,2021-10-17 21:31:31,18.0,rampart,red,rampart,blue,Mirror
Chleb,1,Kadziel,0,Chleb,6lm10a/tp,wystan,luna,4900,144,2021-10-17 21:34:03,25.0,fortress,red,conflux,blue,XL+U
Zuro007,1,Phillsen,0,Zuro007,6lm10a/tp,luna,ivor,-3000,143,2021-10-17 21:48:22,24.0,conflux,red,rampart,blue,XL+U
AcidLord,0,Fafhrd,1,Fafhrd,h3dm1/3,adela,tyris,700,211,2021-10-18 10:00:59,29.0,castle,red,castle,blue,Mirror
Templar,1,Wanil,0,Templar,mt_Antares,damacon,ajit,900,131,2021-10-18 12:05:44,15.0,dungeon,red,dungeon,blue,Mirror
sebastos,1,alvar,0,sebastos,h3dm1/3,coronius,aeris,500,146,2021-10-18 12:08:53,27.0,rampart,red,rampart,blue,Mirror
dankinPL,0,Roberto,1,Roberto,Nostalgia/TP,valeska,calh,-2100,123,2021-10-18 20:07:00,10.0,castle,red,inferno,blue,XL+U
The_spot,1,Lipathor,0,The_spot,h3dm1/3,tazar,andra,800,135,2021-10-18 20:11:06,19.0,fortress,red,fortress,blue,Mirror
mikii,0,materaldo,1,materaldo,6lm10a/tp,luna,shakti,-600,142,2021-10-20 19:22:44,23.0,conflux,red,dungeon,blue,XL+U
materaldo,1,Woźny888,0,materaldo,h3dm1/3,damacon,jaegar,800,117,2021-10-20 19:24:39,7.0,dungeon,red,dungeon,blue,Mirror
Cez,0,mirek_swirek,1,mirek_swirek,h3dm1/3,xyron,octavia,-900,137,2021-10-20 19:31:02,21.0,inferno,red,inferno,blue,Mirror
Hiszpan,0,wickedskinner,1,wickedskinner,mt_Andromeda,tazar,bron,1600,132,2021-10-21 15:56:05,16.0,fortress,red,fortress,blue,Mirror
Synestesiac,0,Odelle,0,Remis,h3dm1/3,adela,adelaide,0,111,2021-10-21 17:46:27,1.0,castle,red,castle,blue,Mirror
Ceres,1,gornik,0,Ceres,Nostalgia/TP,tyraxor,wystan,600,144,2021-10-22 12:08:43,25.0,stronghold,red,fortress,blue,XL+U
Kevin,1,Rexim,0,Kevin,h3dm1/3,terek,gundula,-800,114,2021-10-24 07:57:55,4.0,stronghold,red,stronghold,blue,Mirror
Przemo_oo3,0,Aravol,1,Aravol,6lm10a/tp,shakti,calh,-2800,113,2021-10-24 08:30:57,3.0,dungeon,red,inferno,blue,XL+U
Tyranuxus,1,Dadalus,0,Tyranuxus,Nostalgia/TP,wystan,ivor,-500,116,2021-10-24 11:48:18,6.0,fortress,red,rampart,blue,XL+U
KesZu,0,Crackbrained,1,Crackbrained,6lm10a/tp,valeska,ivor,900,136,2021-10-24 11:50:30,20.0,castle,red,rampart,blue,XL+U
Dawidu_91,1,KesZu,0,Dawidu_91,Nostalgia/TP,tyraxor,luna,3500,126,2021-10-29 06:12:41,13.0,stronghold,red,conflux,blue,XL+U
Dadalus,0,Szopa666,1,Szopa666,6lm10a/tp,calh,anabel,-800,131,2021-10-29 06:13:50,15.0,inferno,red,cove,blue,XL+U
Golcze Gabana,1,orzech15100,0,Golcze Gabana,h3dm1/3,elleshar,coronius,1000,115,2021-10-29 08:12:29,5.0,rampart,red,rampart,blue,Mirror
Venefiz,1,RitoSux,0,Venefiz,w/o,ivor,calh,-3000,114,2021-10-29 12:52:15,4.0,rampart,red,inferno,blue,w/o
Starget,0,Golcze Gabana,1,Golcze Gabana,h3dm1/3,neela,aine,-900,134,2021-10-31 08:18:52,18.0,tower,red,tower,blue,Mirror
[SDK] Ravciozo,1,Korczi,0,[SDK] Ravciozo,Nostalgia/TP,valeska,anabel,-500,135,2021-11-03 07:09:03,19.0,castle,red,cove,blue,XL+U
[SDK] Ravciozo,1,Korczi,0,[SDK] Ravciozo,6lm10a/tp,anabel,ivor,2500,113,2021-11-03 07:09:03,3.0,cove,red,rampart,blue,XL+U
jt1911,0,Sandra,1,Sandra,Nostalgia/TP,calh,wystan,-2600,122,2021-11-04 06:47:38,9.0,inferno,red,fortress,blue,XL+U
jt1911,0,Sandra,1,Sandra,h3dm1/3,adela,cuthbert,800,113,2021-11-04 06:47:38,3.0,castle,red,castle,blue,Mirror
Jan Pegasus 2,0,Kiniok,1,Kiniok,6lm10a/tp,anabel,luna,1900,122,2021-11-04 06:50:58,9.0,cove,red,conflux,blue,XL+U
Jan Pegasus 2,0,Kiniok,1,Kiniok,h3dm1/3,shiva,terek,800,125,2021-11-04 06:50:58,12.0,stronghold,red,stronghold,blue,Mirror
Jan Pegasus 2,0,Kiniok,1,Kiniok,Nostalgia/TP,calh,tyraxor,-2400,147,2021-11-04 06:50:58,28.0,inferno,red,stronghold,blue,XL+U
wickedskinner,1,DziowaniDziadzia,0,wickedskinner,mt_Firewalk,aine,fafner,-5600,112,2021-11-04 06:53:24,2.0,tower,red,tower,blue,Mirror
wickedskinner,1,DziowaniDziadzia,0,wickedskinner,Nostalgia/TP,ivor,tyraxor,-2500,133,2021-11-04 06:53:24,17.0,rampart,red,stronghold,blue,XL+U
Dadalus,0,Venefiz,1,Venefiz,Nostalgia/TP,thant,anabel,-4100,131,2021-11-04 18:09:20,15.0,necropolis,red,cove,blue,XL+U
Roberto,0,jacekchess,1,jacekchess,h3dm1/3,mephala,coronius,700,121,2021-11-05 21:32:38,8.0,rampart,red,rampart,blue,Mirror
Roberto,0,jacekchess,1,jacekchess,Nostalgia/TP,shakti,thant,2000,123,2021-11-05 21:32:38,10.0,dungeon,red,necropolis,blue,XL+U
KacperOK,0,Niechcic,1,Niechcic,6lm10a/tp,calh,ivor,3500,112,2021-11-06 05:51:06,2.0,inferno,red,rampart,blue,XL+U
wnukos,1,BOARtek,0,wnukos,h3dm1/3,nagash,isra,-800,125,2021-11-07 19:07:38,12.0,necropolis,red,necropolis,blue,Mirror
wnukos,1,BOARtek,0,wnukos,6lm10a/tp,anabel,wystan,-500,132,2021-11-07 19:07:38,16.0,cove,red,fortress,blue,XL+U
Wladca wunszy,0,Karkus,1,Karkus,h3dm1/3,adelaide,lord haart,1000,124,2021-11-08 07:10:16,11.0,castle,red,castle,blue,Mirror
Wladca wunszy,0,Karkus,1,Karkus,6lm10a/tp,luna,anabel,-3100,127,2021-11-08 07:10:16,14.0,conflux,red,cove,blue,XL+U
Wladca wunszy,0,Karkus,1,Karkus,Nostalgia/TP,anabel,valeska,900,114,2021-11-08 07:10:16,4.0,cove,red,castle,blue,XL+U
Mqnabz7,1,siofo,0,Mqnabz7,6lm10a/tp,ivor,anabel,-1100,141,2021-11-15 07:10:48,22.0,rampart,red,cove,blue,XL+U
Mqnabz7,1,siofo,0,Mqnabz7,h3dm1/3,drakon,wystan,-900,123,2021-11-15 07:10:48,10.0,fortress,red,fortress,blue,Mirror
mitsurugi321,1,MikiWaikiki,0,mitsurugi321,mt_Firewalk,mirlanda,drakon,-5700,127,2021-11-15 07:13:36,14.0,fortress,red,fortress,blue,Mirror
mitsurugi321,1,MikiWaikiki,0,mitsurugi321,Nostalgia/TP,valeska,ivor,-800,127,2021-11-15 07:13:36,14.0,castle,red,rampart,blue,XL+U
Szopa666,0,Crackbrained,1,Crackbrained,6lm10a/tp,aine,anabel,200,121,2021-11-16 08:21:26,8.0,tower,red,cove,blue,XL+U
mirek_swirek,1,Xanimi,0,mirek_swirek,6lm10a/tp,solmyr,ivor,1200,124,2021-11-21 09:51:48,11.0,tower,red,rampart,blue,XL+U
Aine,0,Fafhrd,1,Fafhrd,6lm10a/tp,shakti,calh,-2600,214,2021-11-21 14:33:06,32.0,dungeon,red,inferno,blue,XL+U
Aine,0,Fafhrd,1,Fafhrd,h3dm1/3,monere,aenain,600,145,2021-11-21 14:33:06,26.0,conflux,red,conflux,blue,Mirror
Noob=ever,1,orzech15100,0,Noob=ever,6lm10a/tp,ivor,calh,-200,146,2021-11-21 14:48:31,27.0,rampart,red,inferno,blue,XL+U
Santi_Nazarini,0,Jon_Snow_,1,Jon_Snow_,6lm10a/tp,anabel,tazar,-800,124,2021-11-21 14:55:40,11.0,cove,red,fortress,blue,XL+U
Santi_Nazarini,0,Jon_Snow_,1,Jon_Snow_,Nostalgia/TP,valeska,aine,-1100,126,2021-11-21 14:55:40,13.0,castle,red,tower,blue,XL+U
Santi_Nazarini,0,Jon_Snow_,1,Jon_Snow_,mt_Andromeda,alkin,tazar,1000,111,2021-11-21 14:55:40,1.0,fortress,red,fortress,blue,Mirror
-MSF-,1,Ardian,0,-MSF-,h3dm1/3,nymus,xyron,-800,111,2021-11-21 15:16:20,1.0,inferno,red,inferno,blue,Mirror
-MSF-,1,Ardian,0,-MSF-,Mini-nostalgia,thant,grindan,-2100,116,2021-11-21 15:16:20,6.0,necropolis,red,conflux,blue,Other
_Punisher_,1,Maralf,0,_Punisher_,Nostalgia/TP,ivor,luna,4100,212,2021-11-21 19:10:49,30.0,rampart,red,conflux,blue,XL+U
_Punisher_,1,Maralf,0,_Punisher_,6lm10a/tp,anabel,calh,-3100,142,2021-11-21 19:10:49,23.0,cove,red,inferno,blue,XL+U
smok_,1,fitzroy,0,smok_,h3dm1/3,terek,shiva,1000,,2021-11-26 05:46:38,,stronghold,red,stronghold,blue,Mirror
Bajer89,1,jacekchess,0,Bajer89,Nostalgia/TP,luna,valeska,-1100,,2021-11-26 05:48:54,,conflux,red,castle,blue,XL+U
Bajer89,1,jacekchess,0,Bajer89,6lm10a/tp,thant,aine,-4200,,2021-11-26 05:48:54,,necropolis,red,tower,blue,XL+U
Lipathor,0,Trailblazer,1,Trailblazer,h3dm1/3,astral,aine,-900,123,2021-11-26 21:20:34,10.0,tower,red,tower,blue,Mirror
Lipathor,0,Trailblazer,1,Trailblazer,Nostalgia/TP,jeddite,luna,-900,123,2021-11-26 21:20:34,10.0,dungeon,red,conflux,blue,XL+U
Plandoo,0,Siwak66,1,Siwak66,Nostalgia/TP,valeska,ivor,-700,,2021-12-02 06:41:02,,castle,red,rampart,blue,XL+U
Plandoo,0,Siwak66,1,Siwak66,h3dm1/3,nymus,octavia,-900,,2021-12-02 06:41:02,,inferno,red,inferno,blue,Mirror
michail117,1,Tagliafico,0,michail117,Nostalgia/TP,anabel,valeska,1500,,2021-12-02 06:44:06,,cove,red,castle,blue,XL+U
michail117,1,Tagliafico,0,michail117,6lm10a/tp,alkin,luna,4000,,2021-12-02 06:44:06,,fortress,red,conflux,blue,XL+U
javedin,0,KrystianTyraxor,1,KrystianTyraxor,6lm10a/tp,luna,thant,-1400,125,2021-12-02 06:47:45,12.0,conflux,red,necropolis,blue,XL+U
javedin,0,KrystianTyraxor,1,KrystianTyraxor,h3dm1/3,jenova,coronius,-1000,133,2021-12-02 06:47:45,17.0,rampart,red,rampart,blue,Mirror
Minos3212,0,berkas,1,berkas,Nostalgia/TP,wystan,shakti,3000,212,2021-12-07 08:18:14,30.0,fortress,red,dungeon,blue,XL+U
Minos3212,0,berkas,1,berkas,6lm10a/tp,calh,shakti,2900,142,2021-12-07 08:18:14,23.0,inferno,red,dungeon,blue,XL+U
Ronoroa,1,Ceres,0,Ronoroa,6lm10a/tp,thant,ivor,-2000,224,2021-12-07 11:52:48,39.0,necropolis,red,rampart,blue,XL+U
Ronoroa,1,Ceres,0,Ronoroa,h3dm1/3,drakon,wystan,1000,115,2021-12-07 11:52:48,5.0,fortress,red,fortress,blue,Mirror
Crackbrained,1,TselNabis,0,Crackbrained,mt_Firewalk,adelaide,adela,6300,122,2021-12-07 11:55:07,9.0,castle,red,castle,blue,Mirror
Crackbrained,1,TselNabis,0,Crackbrained,6lm10a/tp,calh,ivor,4100,112,2021-12-07 11:55:07,2.0,inferno,red,rampart,blue,XL+U
Voideck,1,wnukos,0,Voideck,Nostalgia/TP,aine,calh,-1600,133,2021-12-07 11:57:16,17.0,tower,red,inferno,blue,XL+U
Voideck,1,wnukos,0,Voideck,Mini-nostalgia,shakti,thant,3500,136,2021-12-07 11:57:16,20.0,dungeon,red,necropolis,blue,Other
jacajackson,0,Grzechen88,1,Grzechen88,6lm10a/tp,shakti,anabel,-200,137,2021-12-07 12:00:45,21.0,dungeon,red,cove,blue,XL+U
jacajackson,0,Grzechen88,1,Grzechen88,mt_Firewalk,nymus,xyron,6400,124,2021-12-07 12:00:45,11.0,inferno,red,inferno,blue,Mirror
jacajackson,0,Grzechen88,1,Grzechen88,h3dm1/3,leena,jeremy,800,135,2021-12-07 12:00:45,19.0,cove,red,cove,blue,Mirror
Rotede,0,sudokuwbetlejem,1,sudokuwbetlejem,Nostalgia/TP,calh,alkin,-300,142,2021-12-07 12:02:50,23.0,inferno,red,fortress,blue,XL+U
Rotede,0,sudokuwbetlejem,1,sudokuwbetlejem,6lm10a/tp,solmyr,thant,4500,141,2021-12-07 12:02:50,22.0,tower,red,necropolis,blue,XL+U
Tyranuxus,1,smok_,0,Tyranuxus,mt_Firewalk,calid,nymus,-6000,122,2021-12-07 12:04:04,9.0,inferno,red,inferno,blue,Mirror
CONOP,0,Krwawy_ponurak,1,Krwawy_ponurak,mt_Firewalk,caitlin,adela,2000,142,2021-12-07 15:13:42,23.0,castle,red,castle,blue,Mirror
CONOP,0,Krwawy_ponurak,1,Krwawy_ponurak,Nostalgia/TP,grindan,solmyr,-1100,122,2021-12-07 15:13:42,9.0,conflux,red,tower,blue,XL+U
Dawidu_91,1,Flisiu,0,Dawidu_91,h3dm1/3,tazar,alkin,-900,123,2021-12-08 06:39:21,10.0,fortress,red,fortress,blue,Mirror
Dawidu_91,1,Flisiu,0,Dawidu_91,6lm10a/tp,valeska,luna,2600,127,2021-12-08 06:39:21,14.0,castle,red,conflux,blue,XL+U
szhzs,0,Soczi80,1,Soczi80,h3dm1/3,dace,damacon,-900,227,2021-12-08 19:38:47,42.0,dungeon,red,dungeon,blue,Mirror
szhzs,0,Soczi80,1,Soczi80,6lm10a/tp,wystan,tyraxor,-300,145,2021-12-08 19:38:47,26.0,fortress,red,stronghold,blue,XL+U
Lord Davy,1,Krotor,0,Lord Davy,6lm10a/tp,wystan,ivor,1000,132,2021-12-09 09:49:07,16.0,fortress,red,rampart,blue,XL+U
Lord Davy,1,Krotor,0,Lord Davy,h3dm1/3,calid,octavia,-800,125,2021-12-09 09:49:07,12.0,inferno,red,inferno,blue,Mirror
Lord Davy,1,Krotor,0,Lord Davy,Nostalgia/TP,ivor,tyraxor,-2000,136,2021-12-09 09:49:07,20.0,rampart,red,stronghold,blue,XL+U
Ronoroa,1,Aproh,0,Ronoroa,6lm10a/tp,alamar,ivor,3800,131,2021-12-09 17:29:00,15.0,dungeon,red,rampart,blue,XL+U
Odelle,1,materaldo,0,Odelle,mt_Firewalk,dace,damacon,-6200,123,2021-12-12 10:26:22,10.0,dungeon,red,dungeon,blue,Mirror
beltalowda,0,Gumis,1,Gumis,h3dm1/3,coronius,mephala,-900,124,2021-12-12 10:38:06,11.0,rampart,red,rampart,blue,Mirror
beltalowda,0,Gumis,1,Gumis,6lm10a/tp,tyraxor,anabel,2800,143,2021-12-12 10:38:06,24.0,stronghold,red,cove,blue,XL+U
Zandarz,1,Zuro007,0,Zandarz,6lm10a/tp,tyraxor,valeska,1200,131,2021-12-15 12:29:39,15.0,stronghold,red,castle,blue,XL+U
Zandarz,1,Zuro007,0,Zandarz,Nostalgia/TP,calh,luna,2100,133,2021-12-15 12:29:39,17.0,inferno,red,conflux,blue,XL+U
KesZu,1,Narmalcil,0,KesZu,6lm10a/tp,anabel,wystan,-2000,136,2021-12-16 07:49:49,20.0,cove,red,fortress,blue,XL+U
KesZu,1,Narmalcil,0,KesZu,Nostalgia/TP,wystan,calh,1100,125,2021-12-16 07:49:49,12.0,fortress,red,inferno,blue,XL+U
Hiszpan,0,miodzislaw,1,miodzislaw,6lm10a/tp,valeska,calh,-3000,147,2021-12-16 13:40:57,28.0,castle,red,inferno,blue,XL+U
Hiszpan,0,miodzislaw,1,miodzislaw,h3dm1/3,aenain,monere,1000,132,2021-12-16 13:40:57,16.0,conflux,red,conflux,blue,Mirror
tuti_fruti23,0,Chleb,1,Chleb,h3dm1/3,monere,gelare,800,124,2021-12-17 10:45:46,11.0,conflux,red,conflux,blue,Mirror
tuti_fruti23,0,Chleb,1,Chleb,mt_Andromeda,jenova,aeris,800,134,2021-12-17 10:45:46,18.0,rampart,red,rampart,blue,Mirror
-MSF-,0,Bejker,1,Bejker,mt_Andromeda,gundula,shiva,1100,132,2021-12-19 07:22:01,16.0,stronghold,red,stronghold,blue,Mirror
-MSF-,0,Bejker,1,Bejker,Nostalgia/TP,wystan,luna,2700,127,2021-12-19 07:22:01,14.0,fortress,red,conflux,blue,XL+U
Ronoroa,0,Chleb,1,Chleb,mt_Andromeda,gundula,crag hack,-1000,133,2021-12-21 20:33:26,17.0,stronghold,red,stronghold,blue,Mirror
Ronoroa,0,Chleb,1,Chleb,6lm10a/tp,alamar,ivor,-1800,132,2021-12-21 20:33:26,16.0,dungeon,red,rampart,blue,XL+U
Kadziel,1,mikii,0,Kadziel,6lm10a/tp,anabel,calh,-3900,131,2021-12-22 18:22:06,15.0,cove,red,inferno,blue,XL+U
Yarzapp,0,dankinPL,1,dankinPL,6lm10a/tp,aine,shakti,2500,142,2021-12-22 18:25:42,23.0,tower,red,dungeon,blue,XL+U
Yarzapp,0,dankinPL,1,dankinPL,mt_Andromeda,jeremy,illor,900,142,2021-12-22 18:25:42,23.0,cove,red,cove,blue,Mirror
alpaca,0,Abozykk,1,Abozykk,Nostalgia/TP,thant,shakti,-5900,,2021-12-23 14:49:54,,necropolis,red,dungeon,blue,XL+U
alpaca,0,Abozykk,1,Abozykk,mt_Firewalk,jeremy,cassiopeia,-3500,,2021-12-23 14:49:54,,cove,red,cove,blue,Mirror
Dadalus,1,Rotede,0,Dadalus,h3dm1/3,bron,alkin,900,134,2021-12-23 14:55:55,18.0,fortress,red,fortress,blue,Mirror
Dadalus,1,Rotede,0,Dadalus,Nostalgia/TP,shakti,ivor,-2900,127,2021-12-23 14:55:55,14.0,dungeon,red,rampart,blue,XL+U
Lanthan,0,yke,1,yke,6lm10a/tp,ivor,luna,1500,147,2021-12-23 15:01:45,28.0,rampart,red,conflux,blue,XL+U
Xeno[CV],0,Rambixxx,1,Rambixxx,mt_Andromeda,lorelei,damacon,1100,124,2021-12-23 15:05:28,11.0,dungeon,red,dungeon,blue,Mirror
Xeno[CV],0,Rambixxx,1,Rambixxx,6lm10a/tp,calh,ivor,800,125,2021-12-23 15:05:28,12.0,inferno,red,rampart,blue,XL+U
Narmalcil,0,KacperOK,1,KacperOK,6lm10a/tp,aine,anabel,500,136,2022-01-04 16:12:26,20.0,tower,red,cove,blue,XL+U
Kamgooner,1,pdemianczuk,0,Kamgooner,Nostalgia/TP,josephine,luna,1800,147,2022-01-05 17:58:19,28.0,tower,red,conflux,blue,XL+U
Akabes,0,javedin,1,javedin,h3dm1/3,alkin,tazar,900,134,2022-01-05 18:00:01,18.0,fortress,red,fortress,blue,Mirror
Kubaryt,0,Golcze Gabana,1,Golcze Gabana,h3dm1/3,alkin,wystan,-1000,121,2022-01-05 18:04:30,8.0,fortress,red,fortress,blue,Mirror
Cruzen,1,Grzechen88,0,Cruzen,h3dm1/3,gelare,aenain,-800,127,2022-01-05 18:20:57,14.0,conflux,red,conflux,blue,Mirror
sebastos,0,orzech15100,0,Remis,h3dm1/3,andra,bron,800,135,2022-01-05 18:37:06,19.0,fortress,red,fortress,blue,Mirror
Vertr0X,1,Xeno[CV],0,Vertr0X,6lm10a/tp,aine,tyraxor,-3500,137,2022-01-05 18:41:48,21.0,tower,red,stronghold,blue,XL+U
Tyranuxus,0,Dawidu_91,1,Dawidu_91,Nostalgia/TP,calh,aislinn,0,,2022-01-06 07:30:30,,inferno,red,necropolis,blue,XL+U
Tyranuxus,0,Dawidu_91,1,Dawidu_91,Mini-nostalgia,cyra,dace,0,,2022-01-06 07:30:30,,tower,red,dungeon,blue,Other
Voideck,0,sudokuwbetlejem,1,sudokuwbetlejem,6lm10a/tp,calh,tyraxor,-300,142,2022-01-06 07:33:22,23.0,inferno,red,stronghold,blue,XL+U
Voideck,0,sudokuwbetlejem,1,sudokuwbetlejem,Nostalgia/TP,luna,calh,-5200,117,2022-01-06 07:33:22,7.0,conflux,red,inferno,blue,XL+U
Bajer89,1,CzileraInzyniera,0,Bajer89,6lm10a/tp,aine,ivor,1000,125,2022-01-06 07:38:52,12.0,tower,red,rampart,blue,XL+U
Bajer89,1,CzileraInzyniera,0,Bajer89,Nostalgia/TP,tazar,ivor,2000,131,2022-01-06 07:38:52,15.0,fortress,red,rampart,blue,XL+U
Bartus,1,KacperOK,0,Bartus,6lm10a/tp,ivor,anabel,2000,124,2022-01-08 08:50:05,11.0,rampart,red,cove,blue,XL+U
Bejker,0,Odelle,1,Odelle,6lm10a/tp,octavia,wystan,300,,2022-01-10 06:49:34,,inferno,red,fortress,blue,XL+U
Bejker,0,Odelle,1,Odelle,Mini-nostalgia,valeska,ivor,2400,,2022-01-10 06:49:34,,castle,red,rampart,blue,Other
Gumis,0,Crackbrained,1,Crackbrained,mt_Andromeda,calh,axsis,0,,2022-01-10 06:50:34,,inferno,red,inferno,blue,Mirror
